,Year,Month,Last Name (1st Author),Paper Title,Process,CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
10,2008,3,Han,A Parallel Power Amplifier With a Novel Mode Switching Control,GaAs,,0.84,,,,,,`,,,1.2288,28^,40.5^,CDMA IS-95,,InGaP/GaAs
11,2009,12,Yoo,Helix on Pad-Type Ultra Small-Size Power Amplifiers for WCDMA Handset Applications,GaAs,,0.84,,,,,,,,,3.84,28,40.5,3GPP W-CDMA,,InGaP/GaAs
12,2007,5,Nam,The Doherty Power Amplifier With On-Chip Dynamic Bias Control Circuit for Handset Application,GaAs,,0.85,,,,,,28.8,,,1.2288,28,43.3,IS-95A,,InGaP/GaAs
13,2015,1,Kang,A Multi-Mode Multi-Band Reconfigurable Power Amplifier for 2G/3G/4G Handset Applications,GaAs,0.85-0.9,0.85,34.9,52,PAE,,,32,,-27.95,,34.5,52.5,GMSK/EDGE,,2- u InGaP/GaAs HBT
14,2007,12,Choi,AΔΣ-Digitized Polar RF Transmitter,GaAs,,0.86,,,,,,,,,,22.1,31^,IS-95A,,AlGaAs/GaAs
15,2010,5,Franco,"An efficient, 35 dBm, inverse class-F, UHF RF power amplifier Module on a 12 mm2footprint designed in first pass through accurate modeling and simulation",GaAs,,0.87,35.0,60.2,PAE,,,,,,,,,,,GaAs HBT
16,2016,10,Baek,A Linear InGaP/GaAs HBT Power Amplifier Using Parallel-Combined Transistors With IMD3 Cancellation,GaAs,,0.88,33.5,46.1,PAE,27,28,29.2,,,,25.6,18.8,"LTE (10 MHz, 8.1 dB PAPR)",*Data estimated from graph,InGaP/GaAs HBT
17,2009,6,De la Rosa,A GSM-EDGE power amplifier with a BiFET current limiting bias circuit,GaAs,,0.8975,,,,,,,,,,35,55,GMSK,,InGaP
18,2009,6,De la Rosa,A GSM-EDGE power amplifier with a BiFET current limiting bias circuit,GaAs,,0.8975,,,,,,,,-37.72,,29.5,25,EDGE,,InGaP
19,2000,6,Matilainen,An integrated 900-MHz push-pull power amplifier for mobile applications,GaAs,,0.9,35.0,57,PAE,34,55,36,,,,,,,,
20,2000,8,Yamamoto,A 3.2-V operation single-chip dual-band AlGaAs/GaAs HBT MMIC power amplifier with active feedback circuit technique,GaAs,,0.9,34.5,52,PAE,,,29.5,,,,,,,,AlGaAs/GaAs
21,2001,5,Abey,A single supply high performance PA MMIC for GSM handsets using quasi-enhancement mode PHEMT,GaAs,,0.9,35.5,63,PAE,,,30.5,,,,,,,,
22,2001,5,Zhang,"E-PHEMT, single supply, high efficient power amplifiers for GSM and DCS applications",GaAs,,0.9,35.0,55,PAE,32.5,45,39,,,,,,,,
23,2002,6,Yamamoto,"A GSM/EDGE dual-mode, 900/1800/1900-MHz triple-band HBT MMIC power amplifier module",GaAs,,0.9,,,,,,,,-27.95,,35.5,50,GSM900,,
24,2002,6,Kim,An advanced 2 watt high power amplifier for CDMA 900 MHz system,GaAs,,0.9,,,,39.74,,30.35,,,,33,,CDMA 900,,
25,2002,6,Kusunoki,Power amplifier module with digital adaptive predistortion for cellular phone,GaAs,,0.9,,,,,,,,,1.2288,27.5,48,OQPSK,,
26,2002,12,Kusunoki,Power-amplifier module with digital adaptive predistortion for cellular phones,GaAs,,0.9,,,,,,,,,1.2288,27.5,48,OQPSK,,
27,2004,3,Fukuda,Novel 900 MHz/1.9 GHz dual-mode power amplifier employing MEMS switches for optimum matching,GaAs,,0.9,30.8,46,PAE,30,40,16,,,,,,,,
28,2005,6,Fukuda,A 900/1500/2000-MHz triple-band reconfigurable power amplifier employing RF-MEMS switches,GaAs,,0.9,30.2,60,PAE,29.5,55,14,,,,,,,,
29,2005,6,Zhang,A novel tunable broadband power amplifier module operating from 0.8 GHz to 2.0 GHz,GaAs,,0.9,,34,PAE,34.5,34,33.5,,,,,,,,InGaP/GaAs
30,2005,6,Keerti,Dynamic output phase to adaptively improve the linearity of power amplifier under antenna mismatch,GaAs,,0.9,,,,25,,29,,,,,,,,
31,2005,11,Zhang,Broad-band power amplifier with a novel tunable output matching network,GaAs,,0.9,,42,PAE,31,42,30,,,,,,,,InGaP/GaAs
32,2006,6,Fukuda,A 0.9-5- GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,GaAs,,0.9,30.5,64,PAE,29.5,58,10.7,,,,,,,,
33,2006,6,Moriwaki,"A 2.4-V low-reference-voltage operation, InGaP HBT-MMIC power amplifier module for CDMA applications",GaAs,,0.9,,,,,,26.5,,,,27.5,40,J-CDMA,,InGaP/GaAs
34,2006,6,Moriwaki,"A 2.4-V low-reference-voltage operation, InGaP HBT-MMIC power amplifier module for CDMA applications",GaAs,,0.9,,,,,,26.7,,,,28,42,W-CDMA,,InGaP/GaAs
35,2007,5,Yamamoto,A CDMA InGaP/GaAs-HBT MMIC Power Amplifier Module Operating With a Low Reference Voltage of 2.4 V,GaAs,,0.9,,,,,,,,,,27.5,40,J-CDMA,,InGaP/GaAs
36,2007,5,Yamamoto,A CDMA InGaP/GaAs-HBT MMIC Power Amplifier Module Operating With a Low Reference Voltage of 2.4 V,GaAs,,0.9,,,,,,,,,,28,42,W-CDMA,,InGaP/GaAs
37,2009,6,Zhang,A novel reconfigurable power amplifier structure for multi-band and multi-mode portable wireless applications using a reconfigurable die and a switchable output matching network,GaAs,,0.9,33.8,48(DE),DE,,,,,,,,,,,
38,2012,6,Kim,A Multiband Reconfigurable Power Amplifier for UMTS Handset Applications ,GaAs,,0.9,,,,,,28.4,,,,28.2,43,"UMTS (Linear) Bands 1, 2, 4, 5, 8",,2-μm InGaP/GaAs HBT 
39,2014,6,Shimura,A multiband power amplifier using combination of CMOS and GaAs technologies for WCDMA handsets,GaAs,,0.915,,,,,,28.6,,,,28,40.1,WCDMA,,CMOS and GaAs
40,2016,2,Yamamoto,A WCDMA Multiband Power Amplifier Module With Si-CMOS/GaAs-HBT Hybrid Power-Stage Configuration,GaAs,,0.915,,,,,,,,,,28,40.1, WCDMA MB-PAM,,Si-CMOS/GaAs-HBT hybrid
41,2020,8,Refai,A Highly Efficient Linear Multimode Multiband Class-J Power Amplifier Utilizing GaAs HBT for Handset Modules,GaAs HBT,0.814-0.915,0.915,33.0,56,PAE,,,22.5,,,,29,33,2.5G/EDGE,,GaAs HBT
42,2020,8,Refai,A Highly Efficient Linear Multimode Multiband Class-J Power Amplifier Utilizing GaAs HBT for Handset Modules,GaAs HBT,0.814-0.915,0.915,33.0,56,PAE,,,22.5,,,,29,33,3G/W-CDMA,,GaAs HBT
43,2020,8,Refai,A Highly Efficient Linear Multimode Multiband Class-J Power Amplifier Utilizing GaAs HBT for Handset Modules,GaAs HBT,0.814-0.915,0.915,33.0,56,PAE,,,22.5,,,,34.3,57.5,2G/GSM,,GaAs HBT
44,2000,1,Martin,A class-E power amplifier based on an extended resonance technique,GaAs,,0.935,35.5,67,PAE,35,65,12.5,,,,,,,,
45,2001,12,Iwamoto,An extended Doherty amplifier with high efficiency over a wide power range,GaAs,,0.95,,46,PAE,27.5,46,10.2,,,,25,45,CDMA,,InGaP/GaAs
46,2008,6,Fukuda,A novel reconfigurable quad-band power amplifier with reconfigurable biasing network and LTCC substrates,GaAs,,1.0,30.0,55,PAE,26,35,9.2,,,,,,,,
47,2017,2,Alizadeh,Investigation of a Class-J Mode Power Amplifier in Presence of a Second-Harmonic Voltage at the Gate Node of the Transistor,GaAs,,1.0,28.1,62,PAE,27.5,59,18,,,,,,,,0.25-μm AlGaAsInGaAs pHEMT 
48,2007,6,Florian,Hybrid High Power Amplifiers for L-Band Space Application,GaAs,,1.275,40.9,56.46,PAE,40.82,56,12.3,,,,,,,,0.35um pHEMT
49,2007,6,Florian,Hybrid High Power Amplifiers for L-Band Space Application,GaAs,,1.275,40.9,56.46,PAE,46.25,50,13,,,,,,,,0.35um pHEMT
50,2005,6,Fukuda,A 900/1500/2000-MHz triple-band reconfigurable power amplifier employing RF-MEMS switches,GaAs,,1.5,30.0,61,PAE,29,58,12.7,,,,,,,,
51,2006,6,Fukuda,A 0.9-5- GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,GaAs,,1.5,31.0,58,PAE,30.5,58,8.3,,,,,,,,
52,2008,6,Fukuda,A novel reconfigurable quad-band power amplifier with reconfigurable biasing network and LTCC substrates,GaAs,,1.5,31.0,52,PAE,25,24,8.8,,,,,,,,
53,2009,6,Zhang,A novel reconfigurable power amplifier structure for multi-band and multi-mode portable wireless applications using a reconfigurable die and a switchable output matching network,GaAs,,1.6,29.4,55(DE),DE,,,,,,,,,,,
54,2007,6,Hun Ji,Concurrent Dual-Band Class-E Power Amplifier Using Composite Right/Left-Handed Transmission Lines,GaAs,,1.7,22.2,42.6,PAE,21,40,,,,,,,,,
55,2012,6,Cho,A low/high-mode power amplifier with envelope-tracking operation ,GaAs,,1.71,,,,,,,,,,27,39.9,"LTE (10 MHz, 16-QAM, 6.44 dB PAPR)",Dual-path ET,InGaP/GaAs HBT and the AIGaAs/InGaAs pHEMT
56,2012,6,Cho,A low/high-mode power amplifier with envelope-tracking operation ,GaAs,,1.71,,,,,,,,,,15.5,30.3,"LTE (10 MHz, 16-QAM, 6.44 dB PAPR)",,InGaP/GaAs HBT and the AIGaAs/InGaAs pHEMT
57,2012,6,Leipold,A WCDMA 41% power efficiency direct DC coupled hybrid CMOS/GaAs power amplifier with pre-distortion linearization,GaAs,,1.735,,,,30.5,,25.6,,,,28.5,41.3,WCDMA,,CMOS and InGaP HBT dies
58,2012,6,Kim,Wideband envelope tracking power amplifier for LTE application ,GaAs,,1.74,,,,,,30.1 / 29.9 / 29.8,,,,27,40.03 / 39.40 / 38.49,LTE with BW 10 / 20 / 30 MHz and PAPR 6.95/6.87/6.87 dB,,InGaP/GaAs 2 μm HBT
59,2012,5,Kim,Highly Efficient Dual-Switch Hybrid Switching Supply Modulator for Envelope Tracking Power Amplifier,GaAs,,1.74,,,,,,,,,,27,39.1,"LTE (10 MHz, 6.95 dB PAPR)",ET,InGaP/GaAs 2 μm HBT
60,2000,8,Yamamoto,A 3.2-V operation single-chip dual-band AlGaAs/GaAs HBT MMIC power amplifier with active feedback circuit technique,GaAs,,1.745,32.0,41.8,PAE,,,27,,,,,,,,AlGaAs/GaAs
61,2001,5,Abey,A single supply high performance PA MMIC for GSM handsets using quasi-enhancement mode PHEMT,GaAs,,1.75,33.2,61.1,PAE,,,28.2,,,,,,,,
62,2003,12,Jiang,A class-B push-pull power amplifier based on an extended resonance technique,GaAs,,1.75,31.5,60,PAE,30,59,7.3,,,,,,,,
63,2003,6,Park,Demonstration of on-chip appended power amplifier for improved efficiency at low power region,GaAs,,1.75,28.0,39,PAE,27.6,34.2,23,,,,,,,,InGaP/GaAs
64,2008,6,Fu,A tunable matching network for power amplifier efficiency enhancement and distortion reduction,GaAs,,1.75,20.0,52.5(DE),DE,19,52.5,11.8,,,,,,,,AlGaAs/InGaAs^^
65,2008,11,Fu,Improving Power Amplifier Efficiency and Linearity Using a Dynamically Controlled Tunable Matching Network,GaAs,,1.75,17.0,40 (DE),DE,16.5,38,10.5,,,,15,43,3GPP W-CDMA,,AlGaAs/InGaAs
66,2001,5,Zhang,"E-PHEMT, single supply, high efficient power amplifiers for GSM and DCS applications",GaAs,,1.8,33.0,40,PAE,32,35,35,,,,,,,,
67,2002,6,Jager,Broadband high-efficiency monolithic InGaP/GaAs HBT power amplifiers for 3G handset applications,GaAs,,1.8,30.0,50,PAE,,,22.5,,,,,,,,InGaP/GaAs
68,2004,6,Akkul,High efficiency power amplifier input/output circuit topologies for base station and WLAN applications,GaAs,,1.8,42.04,73(DE),DE,41.4,65,16,,,,42.04,73 (DE),GSM,,0.5um PHEMT
69,2005,11,Zhang,Broad-band power amplifier with a novel tunable output matching network,GaAs,,1.8,33.0,55,PAE,31,42,27.5,,,,,,,,InGaP/GaAs
70,2005,3,Eccleston,Compact dual-fed distributed power amplifier,GaAs,,1.8,23.0,35,PAE,,,17,,,,,,,,
