,Year,Month,Last Name (1st Author),Paper Title,"Process (CMOS_Bulk, CMOS_SOI, SiGe)",CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
39,2002.0,6.0,Fager,Intermodulation distortion behavior in LDMOS transistor amplifiers,LDMOS,,1.9,27.0,20,,25.0,19,12,,,,,,,,
40,2005.0,6.0,Crescenzi,60 Watt Doherty amplifiers using high gain 2-stage hybrid amplifier modules,LDMOS,,1.9,47.8,40,,47.2,38,26,,,,40.96,26.8(DE),3GPP W-CDMA,,
41,2006.0,6.0,Shih,RF LDMOS Power Amplifier Integrated Circuits for Cellular Wireless Base Station Applications,LDMOS,,1.9,,,,,,30,,,,46.02,34,CDMA2000,,
42,2001.0,5.0,Van Der Heijden,Ultra-linear distributed class-AB LDMOS RF power amplifier for base stations,LDMOS,,1.95,,,,,,,,,,27.4,10.5,W-CDMA,,
43,2002.0,11.0,Van Der Heijden,Theory and design of an ultra-linear square-law approximated LDMOS power amplifier in class-AB operation,LDMOS,,1.95,,,,,,16,,,3.84,25.1,3.7,W-CDMA 3GPP,,
44,2002.0,11.0,Van Der Heijden,Theory and design of an ultra-linear square-law approximated LDMOS power amplifier in class-AB operation,LDMOS,,1.95,,,,,,13.5,,,3.84,23.9,8,W-CDMA 3GPP,,
45,2002.0,11.0,Van Der Heijden,Theory and design of an ultra-linear square-law approximated LDMOS power amplifier in class-AB operation,LDMOS,,1.95,,,,,,12.5,,,3.84,27.4,10.5,W-CDMA 3GPP,,
46,2006.0,6.0,Draxler,High Efficiency Envelope Tracking LDMOS Power Amplifier for W-CDMA,LDMOS,,2.0,,,,,,14.9,,-29.63,,44.3,40.4,W-CDMA,,
47,2010.0,5.0,Singerl,"A highly efficient 1-GHz, 15-W power amplifier design based on a 50-V LDMOS transistor",LDMOS,,2.0,41.5,75,,,,16.5,,,,,,,,50VLDMOS
48,2011.0,,Zhao,Linearity Improved Doherty Power Amplifier Using Coupled-Lines and a Capacitive Load,LDMOS,,2.0,42.5,43.6,,,,,,,,,,,,LDMOSFET
49,2017.0,,Min,Two-Stage Integrated Doherty Power Amplifier with Extended Instantaneous Bandwidth for 4/5G Wireless Systems,LDMOS,,2.0,46.5,50 (DE),DE,,,31.5,,,,39.3,43.5(DE),,,LDMOS
50,2017.0,,Min,Two-Stage Integrated Doherty Power Amplifier with Extended Instantaneous Bandwidth for 4/5G Wireless Systems,LDMOS,,2.0,46.5,50,,43.0,50,31,,,,39.3,43.5(DE),LTE,,LDMOS
51,2010.0,,Wang,A Doherty Amplifier for TD-SCDMA Base Station Applications B . ased on A Single Packaged Dual-path Integrated LDMOS Power TransIstor,LDMOS,,2.025,48.45,50,,,,30.2,,,,40,35.4,TD-SCDMA,,LDMOS
52,2002.0,,Crescenzi,A 20W 2080-2200 MHz Hybrid Power Amplifier Optimized for Error Amplifier Applications,LDMOS,,2.1,43.0,,,,,26,,,,,,,,LDMOS
53,2004.0,6.0,Hashinaga,Pre-distortion linearizer module using InGaP-HBT based MMIC for LDMOS high-power amplifier,LDMOS,,2.1,,,,,,,,,,41,,W-CDMA 3GPP,,InGaP/LDMOS
54,2004.0,,Hashinaga,Pre-distortion Linearizer Module Using InGaP-HBT based MMIC for LDMOS High-Power Amplifier,LDMOS,,2.1,,,,,,,,,,41,,W-CDMA 3GPP,,Si-LDMOS
55,2006.0,6.0,Shih,RF LDMOS Power Amplifier Integrated Circuits for Cellular Wireless Base Station Applications,LDMOS,,2.1,,,,,,27,,,,46.99,30,W-CDMA,,
