,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
291,2021.0,6,Hamada,220–325-GHz 25-dB-Gain Differential Amplifier With High Common-Mode-Rejection Circuit in 60-nm InP-HEMT Technology,InP,220-325,305.0,6.3,,,,,25.0,,,,,,,,60nm InP HEMT
292,2008.0,6,Hacker,250 nm InP DHBT Monolithic Amplifiers with 4.8 dB Gain at 324 GHz,InP,,324.0,1.13,0.6,PAE,,,4.8,,,,,,,,
293,2018.0,10,Ahmed,8.6-13.6 mW Series-Connected Power Amplifiers Designed at 325 GHz using 130 nm InP HBT Technology,InP,,325.0,9.34,2.2,PAE,,,10.0,,,,,,,,InP HBT 130nm
294,2018.0,10,Ahmed,8.6-13.6 mW Series-Connected Power Amplifiers Designed at 325 GHz using 130 nm InP HBT Technology,InP,,325.0,11.33,,,,,16.6,,,,,,,,InP HBT 130nm
295,2020.0,8,Hamada,475-GHz 20-dB-Gain InP-HEMT Power Amplifier Using Neutralized Common-Source Architecture,InP,469.5 -482.5,475.0,-1.1,0.6,PAE,,,20.0,,,,,,,,60 nm InP HEMT
296,2020.0,8,Hamada,475-GHz 20-dB-Gain InP-HEMT Power Amplifier Using Neutralized Common-Source Architecture,InP,,480.0,-1.2,,,,,20.2,,,,,,,,60 nm InP HEMT
297,2023.0,2,Chien,"A 180-220-GHz, 12.7-dBm peak Psat and 17.3% peak PAE Power Amplifier in 250-nm InP HBT",InP,180-220,200.0,12.7,17.3,PAE,10.8,16.0,7.8,,,,,,,,250nm InP HBT
298,2023.0,2,Jyo,A 220-294 GHz Power Amplifier with 10-dBm Psat and 2.2% PAE in 250-nm InP DHBT,InP,220-294,250.0,10.6,2.24,PAE,6.1,0.9,23.0,,,,,,,,250nm InP HBT
299,2022.0,1,Cheron,Collector Series-Resistor to Stabilize a Broadband 400 GHz Common-Base Amplifier,InP,325-477,341.0,5.1,,,,,31.0,,,,,,,,130nm InP DHBT
300,2023.0,4,Chien,High-Efficiency 200-GHz Neutralized Common-Base Power Amplifiers in 250-nm InP HBT,InP,180-220,200.0,12.7,17.3,PAE,10.8,17.3,7.8,,,,,,,,250nm InP HBT
301,2023.0,4,Chien,High-Efficiency 200-GHz Neutralized Common-Base Power Amplifiers in 250-nm InP HBT,InP,194-207,200.0,17.8,9.1,PAE,,,17.6,,,,,,,,250nm InP HBT
